,x,y,temp,vapr,wind,prec,aspect,slope,elevation,ndmi,ndvi,ndwi,fire_risk
26,-121.4926389,40.34819444,5,2,9,4,0,0,0,0,0,0,1.115
27,-121.4926389,40.34791667,5,2,9,4,0,0,0,0,0,0,1.115
28,-121.4926389,40.34763889,5,2,9,4,0,0,0,0,0,0,1.115
29,-121.4926389,40.34736111,5,2,9,4,0,0,0,0,0,0,1.115
30,-121.4926389,40.34708333,5,2,9,4,0,0,0,0,0,0,1.115
31,-121.4926389,40.34680556,5,2,9,4,0,0,0,0,0,0,1.115
32,-121.4926389,40.34652778,5,2,9,4,0,0,0,0,0,0,1.115
33,-121.4926389,40.34625,5,2,9,4,0,0,0,0,0,0,1.115
34,-121.4926389,40.34597222,5,2,9,4,0,0,0,0,0,0,1.115
35,-121.4926389,40.34569444,5,2,9,4,0,0,0,0,0,0,1.115
36,-121.4926389,40.34541667,5,2,9,4,0,0,0,0,0,0,1.115
37,-121.4926389,40.34513889,5,2,9,4,0,0,0,0,0,0,1.115
38,-121.4926389,40.34486111,5,2,9,4,0,0,0,0,0,0,1.115
39,-121.4926389,40.34458333,5,2,9,4,0,0,0,0,0,0,1.115
40,-121.4926389,40.34430556,5,2,9,4,0,0,0,0,0,0,1.115
41,-121.4926389,40.34402778,5,2,9,4,0,0,0,0,0,0,1.115
42,-121.4926389,40.34375,5,2,9,4,0,0,0,0,0,0,1.115
43,-121.4926389,40.34347222,5,2,9,4,0,0,0,0,0,0,1.115
44,-121.4926389,40.34319444,5,2,9,4,0,0,0,0,0,0,1.115
45,-121.4926389,40.34291667,5,2,9,4,0,0,0,0,0,0,1.115
46,-121.4926389,40.34263889,5,2,9,4,0,0,0,0,0,0,1.115
47,-121.4926389,40.34236111,5,2,9,4,0,0,0,0,0,0,1.115
48,-121.4926389,40.34208333,5,2,9,4,0,0,0,0,0,0,1.115
49,-121.4926389,40.34180556,5,2,9,4,0,0,0,0,0,0,1.115
50,-121.4926389,40.34152778,5,2,9,4,0,0,0,0,0,0,1.115
51,-121.4926389,40.34125,5,2,9,4,0,0,0,0,0,0,1.115
52,-121.4926389,40.34097222,5,2,9,4,0,0,0,0,0,0,1.115
53,-121.4926389,40.34069444,5,2,9,4,0,0,0,0,0,0,1.115
54,-121.4926389,40.34041667,5,2,9,4,0,0,0,0,0,0,1.115
55,-121.4926389,40.34013889,5,2,9,4,0,0,0,0,0,0,1.115
56,-121.4926389,40.33986111,5,2,9,4,0,0,0,0,0,0,1.115
57,-121.4926389,40.33958333,5,2,9,4,0,0,0,0,0,0,1.115
